=== Snake AI Curriculum Training [DQN] ===

>>> [Curriculum] Starting Phase: 1. Pre-training (Single Snake) -> agent/checkpoints/dqn_pretrain.pth
>>> Command: train_dqn_variants.py --variant dqn --single --steps 500000 --save agent/checkpoints/dqn_pretrain.pth
>>> [V6.9 Survival-Balanced] Variant: DQN | LR: 0.0001 | GradClip: 1.0
>>> PHASE 1 (Single) | Closer: 0.15 | Death: -15.0
>>> Starting DQN Training (V6.7 Omni-Batch)...
Step: 4000 | EPS: 0.98 | Rew: -15.24 | FPS: 534.3 | Var: dqn
Step: 6000 | EPS: 0.97 | Rew: -17.02 | FPS: 289.4 | Var: dqn
Step: 8000 | EPS: 0.96 | Rew: -16.73 | FPS: 226.6 | Var: dqn
Step: 10000 | EPS: 0.95 | Rew: -16.85 | FPS: 577.3 | Var: dqn
Step: 12000 | EPS: 0.94 | Rew: -15.01 | FPS: 581.0 | Var: dqn
Step: 14000 | EPS: 0.93 | Rew: -15.48 | FPS: 550.1 | Var: dqn
Step: 16000 | EPS: 0.92 | Rew: -15.98 | FPS: 556.8 | Var: dqn
Step: 18000 | EPS: 0.91 | Rew: -14.91 | FPS: 554.7 | Var: dqn
Step: 20000 | EPS: 0.90 | Rew: -15.57 | FPS: 2764.8 | Var: dqn
Step: 30000 | EPS: 0.85 | Rew: -15.63 | FPS: 551.5 | Var: dqn
Step: 40000 | EPS: 0.80 | Rew: -13.27 | FPS: 555.0 | Var: dqn
Step: 50000 | EPS: 0.75 | Rew: -15.88 | FPS: 535.2 | Var: dqn
Step: 60000 | EPS: 0.70 | Rew: -14.22 | FPS: 546.3 | Var: dqn
